date,block ,row ,col ,pop ,mf ,rep ,pheno ,diam_mm ,height_cm ,total_branch ,herb_dam ,wilt_status ,longest_leaf_cm ,flowers ,fruits ,longest_ fruit_cm ,repro_ branch ,notes ,,
5/22/23,F2 ,39,A ,TM2 ,3,2,X,,,,,,,,,,,,,
5/22/23,F2 ,39,B ,SC ,5,1,X,,,,,,,,,,,,,
5/22/23,F2 ,40,A ,BH ,3,8,X,,,,,,,,,,,,,
5/22/23,F2 ,40,B ,BH ,5,12,V ,16.22,29.8,3,Y,N ,9.2,0,0,0,0,,,
5/22/23,F2 ,41,A ,DPR ,2,4,X,,,,,,,,,,,,,
5/22/23,F2 ,41,B ,buffer ,,,X,,,,,,,,,,,,,
5/22/23,F2 ,42,A ,buffer ,,,X,,,,,,,,,,,,,
5/22/23,F2 ,42,B ,buffer ,,,X,,,,,,,,,,,,,
5/22/23,F2 ,43,A ,buffer ,,,X,,,,,,,,,,,,,
5/22/23,F2 ,43,B ,buffer ,,,X,,,,,,,,,,,,,
5/22/23,F1 ,1,C ,buffer ,,,X,,,,,,,,,,,,,
5/22/23,F1 ,1,D ,buffer ,,,X,,,,,,,,,,,,,
5/22/23,F1 ,2,C ,buffer ,,,X,,,,,,,,,,,,,
5/22/23,F1 ,2,D ,buffer ,,,X,,,,,,,,,,,,,
5/22/23,F1 ,3,C ,BH ,5,16,X,,,,,,,,,,,,,
5/22/23,F1 ,3,D ,SQ1 ,2,8,X,,,,,,,,,,,,,
5/22/23,F1 ,4,C ,TM2 ,5,7,P,17.36,76.2,1,Y,N ,,4,661,9,1,all leaves yellow ,,
5/22/23,F1 ,4,D ,LV3 ,6,9,X,,,,,,,,,,,,,
5/22/23,F1 ,5,C ,BH ,5,26,X,,,,,,,,,,,,,
5/22/23,F1 ,5,D ,YO4 ,1,13,X,,,,,,,,,,,,,
5/22/23,F1 ,6,C ,DPR ,6,9,X,,,,,,,,,,,,,
5/22/23,F1 ,6,D ,LV3 ,4,9,X,,,,,,,,,,,,,
5/22/23,F1 ,7,C ,IH ,1,10,X,,,,,,,,,,,,,
5/22/23,F1 ,7,D ,BH ,7,6,X,,,,,,,,,,,,,
5/22/23,F1 ,8,C ,WL1 ,6,6,X,,,,,,,,,,,,,
5/22/23,F1 ,8,D ,WL1 ,2,16,X,,,,,,,,,,,,,
5/22/23,F1 ,9,C ,SC ,2,13,X,,,,,,,,,,,,,
5/22/23,F1 ,9,D ,TM2 ,5,13,X,,,,,,,,,,,,,
5/22/23,F1 ,10,C ,YO7 ,3,1,X,,,,,,,,,,,,,
5/22/23,F1 ,10,D ,CP3 ,2,3,X,,,,,,,,,,,,,
5/22/23,F1 ,11,C ,WR ,2,8,X,,,,,,,,,,,,,
5/22/23,F1 ,11,D ,IH ,4,2,X,,,,,,,,,,,,,
5/22/23,F1 ,12,C ,SQ1 ,7,5,X,,,,,,,,,,,,,
5/22/23,F1 ,12,D ,FR ,4,7,X,,,,,,,,,,,,,
5/22/23,F1 ,13,C ,BH ,3,7,X,,,,,,,,,,,,,
5/22/23,F1 ,13,D ,FR ,7,10,X,,,,,,,,,,,,,
5/22/23,F1 ,14,C ,YO11 ,3,3,X,,,,,,,,,,,,,
5/22/23,F1 ,14,D ,YO7 ,7,13,X,,,,,,,,,,,,,
5/22/23,F1 ,15,C ,BH ,4,4,X,,,,,,,,,,,,,
5/22/23,F1 ,15,D ,IH ,7,4,X,,,,,,,,,,,,,
5/22/23,F1 ,16,C ,LV3 ,2,5,X,,,,,,,,,,,,,
5/22/23,F1 ,16,D ,SQ2 ,7,6,X,,,,,,,,,,,,,
5/22/23,F1 ,17,C ,WL1 ,4,12,X,,,,,,,,,,,,,
5/22/23,F1 ,17,D ,CC ,3,13,X,,,,,,,,,,,,,
5/22/23,F1 ,18,C ,CP2 ,1,4,X,,,,,,,,,,,,,
5/22/23,F1 ,18,D ,SC ,4,13,X,,,,,,,,,,,,,
5/22/23,F1 ,19,C ,WL1 ,7,3,X,,,,,,,,,,,,,
5/22/23,F1 ,19,D ,LVTR1 ,1,10,X,,,,,,,,,,,,,
5/22/23,F1 ,20,C ,BH ,5,11,X,,,,,,,,,,,,,
5/22/23,F1 ,20,D ,BH ,5,1,X,,,,,,,,,,,,,
5/22/23,F1 ,21,C ,buffer ,,,X,,,,,,,,,,,,,
5/22/23,F1 ,21,D ,WL1 ,7,13,X,,,,,,,,,,,,,
5/22/23,F2 ,22,C ,buffer ,,,X,,,,,,,,,,,,,
5/22/23,F2 ,22,D ,buffer ,,,X,,,,,,,,,,,,,
5/22/23,F2 ,23,C ,IH ,4,21,X,,,,,,,,,,,,,
5/22/23,F2 ,23,D ,WL1 ,4,13,X,,,,,,,,,,,,,
5/22/23,F2 ,24,C ,CC ,1,6,X,,,,,,,,,,,,,
5/22/23,F2 ,24,D ,WL2 ,4,3,X,,,,,,,,,,,,,
5/22/23,F2 ,25,C ,BH ,7,20,X,,,,,,,,,,,,,
5/22/23,F2 ,25,D ,FR ,1,10,X,,,,,,,,,,,,,
5/22/23,F2 ,26,C ,WL1 ,3,2,X,,,,,,,,,,,,,
5/22/23,F2 ,26,D ,SQ1 ,7,6,X,,,,,,,,,,,,,
5/22/23,F2 ,27,C ,WL1 ,2,13,X,,,,,,,,,,,,,
5/22/23,F2 ,27,D ,SQ1 ,3,4,X,,,,,,,,,,,,,
5/22/23,F2 ,28,C ,LV3 ,1,9,X,,,,,,,,,,,,,
5/22/23,F2 ,28,D ,YO4 ,4,4,X,,,,,,,,,,,,,
5/22/23,F2 ,29,C ,SQ1 ,1,1,X,,,,,,,,,,,,,
5/22/23,F2 ,29,D ,CC ,4,8,X,,,,,,,,,,,,,
5/22/23,F2 ,30,C ,IH ,4,3,X,,,,,,,,,,,,,
5/22/23,F2 ,30,D ,WL1 ,1,6,X,,,,,,,,,,,,,
5/22/23,F2 ,31,C ,BH ,6,10,X,,,,,,,,,,,,,
5/22/23,F2 ,31,D ,YO11 ,6,7,X,,,,,,,,,,,,,
5/22/23,F2 ,32,C ,WL1 ,7,4,X,,,,,,,,,,,,,
5/22/23,F2 ,32,D ,WL1 ,2,17,X,,,,,,,,,,,,,
5/22/23,F2 ,33,C ,BH ,5,17,X,,,,,,,,,,,,,
5/22/23,F2 ,33,D ,BH ,2,11,X,,,,,,,,,,,,,
5/22/23,F2 ,34,C ,SQ2 ,6,6,X,,,,,,,,,,,,,
