order ,block,row,column,pop,mf,rep,death date,Notes,,
431,H1,3,C,WL1,1,14,,,,
432,H1,3,D,IH,4,4,1/20/23,wilted,,
433,H1,4,C,SC,6,2,2/17/23,wilted/ broken,,
434,H1,4,D,WL2,3,7,,1/6 two new germ 2/17 gerns dead,,
435,H1,5,C,BH,5,28,,,,
436,H1,5,D,SQ2,6,7,2/17/23,crispy,,
437,H1,6,C,TM2,1,5,,,,
438,H1,6,D,LV3,4,1,,,,
439,H1,7,C,DPR,2,10,,,,
440,H1,7,D,CP3,9,1,12/13/22,red pick,,
441,H1,8,C,SQ1,6,7,,,,
442,H1,8,D,YO11,5,13,,,,
443,H1,9,C,IH,4,22,1/12/23,gone,,
444,H1,9,D,CC,2,2,,,,
445,H1,10,C,BH,6,11,,,,
446,H1,10,D,WL1,7,5,,,,
447,H1,11,C,WL1,1,7,,,,
448,H1,11,D,WL1,4,4,,,,
449,H1,12,C,SQ1,2,5,,,,
450,H1,12,D,SQ3,7,7,2/17/23,1/12 new germ 2/17 germ gone; crupy,,
451,H1,13,C,WL1,6,14,1/6/23,gone,,
452,H1,13,D,YO7,8,2,,,,
453,H1,14,C,LV3,8,2,,,,
454,H1,14,D,SC,5,3,,,,
455,H1,15,C,CP2,3,10,,,,
456,H1,15,D,BH,5,13,,,,
457,H1,16,C,CP2,10,2,,,,
458,H1,16,D,IH,7,6,,,,
459,H1,17,C,BH,2,2,2/17/23,crispy,,
460,H1,17,D,TM2,2,13,,,,
461,H1,18,C,LV3,1,10,2/17/23,crispy,,
462,H1,18,D,WL1,7,19,2/17/23,Stem not,,
463,H1,19,C,BH,7,21,,,,
464,H1,19,D,LV1,4,5,,,,
465,H1,20,C,buffer,,,,gone 2/3/23,,
466,H1,20,D,buffer,,,,,,
467,H2,21,C,buffer,,,,gone 2/3/23,,
468,H2,21,D,WL1,6,25,2/10/23,wilted/rot,,
469,H2,22,C,LV3,2,2,1/20/23,waterlogged,,
470,H2,22,D,BH,2,3,,,,
471,H2,23,C,BH,7,22,,,,
472,H2,23,D,WL1,6,9,,,,
473,H2,24,C,LV3,8,6,,,,
474,H2,24,D,YO8,7,9,1/20/23,gone,,
475,H2,25,C,DPR,2,6,,,,
476,H2,25,D,WL2,4,5,1/20/23,wilted,,
477,H2,26,C,WL1,4,5,,,,
478,H2,26,D,SQ2,6,8,2/10/23,wilted/rot,,
479,H2,27,C,LV3,1,11,1/27/23,waterlogged,,
480,H2,27,D,BH,6,12,,,,
481,H2,28,C,WL1,3,1,,,,
482,H2,28,D,SQ1,1,3,2/17/23,crispy,,
483,H2,29,C,FR,1,13,,,,
484,H2,29,D,LV3,7,6,,1/27 new germ,,
485,H2,30,C,WL2,1,8,1/12/23,1/6 new germ,1/12 germ died,
486,H2,30,D,TM2,1,6,,,,
487,H2,31,C,CP2,6,10,,,,
488,H2,31,D,YO11,7,1,2/3/23,brown,root rot,
489,H2,32,C,SC,6,3,,,,
490,H2,32,D,CP2,3,4,,,,
491,H2,33,C,LVTR1,3,12,,,,
492,H2,33,D,FR,6,4,2/17/23,crispy / broken stem,,
493,H2,34,C,CP2,3,6,,,,
494,H2,34,D,LV3,5,3,,,,
495,H2,35,C,BH,2,13,,,,
496,H2,35,D,SQ1,7,16,2/10/23,wilted/rot,,
497,H2,36,C,CC,2,1,,,,
498,H2,36,D,WL2,5,3,2/10/23,wilted/rot,,
499,H2,37,C,CP2,9,1,2/10/23,wilted/rot,,
500,H2,37,D,IH,7,7,,,,
501,H2,38,C,WL1,7,6,2/17/23,crispy,,
502,H2,38,D,SQ3,6,10,,1/12 new germ 2/17 germ dead,,
503,H2,39,C,WL1,6,15,1/20/23,wilted,,
504,H2,39,D,SC,2,11,2/10/23,wilted/rot,,
505,H2,40,C,buffer,,,,,,
506,H2,40,D,buffer,,,,,,
507,H2,41,C,buffer,,,,,,
508,H2,41,D,buffer,,,,,,
509,J1,0,A,buffer,,,,,,
510,J1,1,A,buffer,,,,,,
511,J1,1,B,buffer,,,,,,
512,J1,2,A,buffer,,,,,,
513,J1,2,B,buffer,,,,dug up,replanted 12/21,
514,J1,3,A,WL1,6,26,,,,
515,J1,3,B,BH,6,13,2/10/23,1/20/2023 stem only,1/27 stem only,2/3/23 stem on
516,J1,4,A,SQ1,7,9,,,,
517,J1,4,B,BH,2,4,,,,
518,J1,5,A,LV3,6,7,,,,
519,J1,5,B,TM2,3,10,,,,
520,J1,6,A,WL1,1,26,2/17/23,crispy,,
521,J1,6,B,DPR,6,10,,,,
522,J1,7,A,SQ1,1,4,2/17/23,crispy,,
523,J1,7,B,SQ1,2,3,,,,
524,J1,8,A,TM2,4,10,,,,
525,J1,8,B,FR,1,1,,,,
526,J1,9,A,YO11,6,13,12/13/22,red pick,,
527,J1,9,B,SC,4,4,,,,
528,J1,10,A,CC,3,2,,,,
529,J1,10,B,SC,5,5,2/17/23,boken stem,,
530,J1,11,A,LV3,6,13,,,,
531,J1,11,B,FR,2,11,2/17/23,gone,,
532,J1,12,A,WL2,5,8,11/30/22,red pick,,
533,J1,12,B,CC,4,4,,,,
534,J1,13,A,SQ1,7,17,,,,
535,J1,13,B,IH,6,13,,,,
536,J1,14,A,WL1,1,16,2/10/23,rot,,
537,J1,14,B,IH,4,6,,,,
538,J1,15,A,WL1,3,12,2/10/23,rot,,
539,J1,15,B,YO4,1,1,2/10/23,rot,,
540,J1,16,A,TM2,1,7,2/10/23,2/3/23 heavily water damage; rot,,
541,J1,16,B,SC,6,4,,,,
542,J1,17,A,WL1,4,6,,,,
543,J1,17,B,LV3,2,7,2/10/23,rot,,
544,J1,18,A,YO8,7,10,,,,
545,J1,18,B,LVTR1,6,2,2/17/23,gone,,
