block ,row ,col ,pop ,mf ,rep ,pheno ,diam mm ,height cm ,total branch ,herb_ dam ,wilt status ,longest leaf cm ,flowers ,fruits ,longest fruit cm ,repro_ branch ,notes 
M1 ,22,D ,YO7 ,6,2,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
M2 ,23,C ,YO11 ,6,11,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
M2 ,23,D ,SQ2 ,4,1,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
M2 ,24,C ,LV1 ,3,12,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
M2 ,24,D ,LV3 ,7,7,X ,,,,,,,,,,,no plant
M2 ,25,C ,CP3 ,1,11,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
M2 ,25,D ,WL2 ,2,1,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
M2 ,26,C ,TM2 ,5,10,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
M2 ,26,D ,LVTR1 ,6,4,X ,,,,,,,,,,,no plant 
M2 ,27,C ,IH ,2,3,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
M2 ,27,D ,WL2 ,3,5,V ,,20.4,6,Y ,N ,2.5,,,,0,bushy 
M2 ,28,C ,CP3 ,5,11,X ,,,,,,,,,,,no plant 
M2 ,28,D ,DPR ,1,6,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
M2 ,29,C ,CP2 ,2,4,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
M2 ,29,D ,WV ,6,12,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
M2 ,30,C ,YO11 ,3,11,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
