survey date,block ,row ,col ,pop ,mf ,rep ,height (cm) ,longest leaf (cm) ,herbivory (Y or N) ,wilting status ,notes 
5/15/2023,C1 ,13,C ,SC ,3,12,,,,,
5/15/2023,C1 ,13,D ,SQ3 ,7,11,,,,,
5/15/2023,C1 ,14,C ,YO4 ,3,13,8,4.2,Y ,N ,
5/15/2023,C1 ,14,D ,SQ1 ,5,11,,,,,
5/15/2023,C1 ,15,C ,CP3 ,5,10,,,,,
5/15/2023,C1 ,15,D ,SQ2 ,3,13,,,,,
5/15/2023,C1 ,16,C ,CP2 ,7,4,,,,,
5/15/2023,C1 ,16,D ,YO4 ,1,5,,,,,
5/15/2023,C1 ,17,C ,WV ,1,9,,,,,
5/15/2023,C1 ,17,D ,YO11 ,5,3,,,,,
5/15/2023,C1 ,18,C ,LVTR1 ,3,5,7.5,4,Y,N,
5/15/2023,C1 ,18,D ,YO11 ,1,1,,,,,
5/15/2023,C1 ,19,C ,WV ,4,3,,,,,
5/15/2023,C1 ,19,D ,DPR ,1,5,,,,,
5/15/2023,C1 ,20,C ,CP2 ,5,11,,,,,
5/15/2023,C1 ,20,D ,FR ,3,7,,,,,
5/15/2023,C1 ,21,C ,SQ3 ,5,2,,,,,
5/15/2023,C1 ,21,D ,TM2 ,3,8,,,,,
5/15/2023,C1 ,22,C ,YO7 ,5,7,,,,,
5/15/2023,C1 ,22,D ,TM2 ,5,6,,,,,
5/15/2023,C2 ,23,C ,SQ2 ,6,13,,,,,
5/15/2023,C2 ,23,D ,CP3 ,4,11,,,,,
5/15/2023,C2 ,24,C ,CC ,7,13,,,,,
5/15/2023,C2 ,24,D ,YO4 ,1,10,,,,,
5/15/2023,C2 ,25,C ,SQ2 ,3,2,,,,,
5/15/2023,C2 ,25,D ,FR ,5,7,,,,,
5/15/2023,C2 ,26,C ,YO4 ,7,2,,,,,
5/15/2023,C2 ,26,D ,YO4 ,5,11,,,,,
5/15/2023,C2 ,27,C ,LV1 ,4,4,,,,,
5/15/2023,C2 ,27,D ,DPR ,3,9,,,,,
5/15/2023,C2 ,28,C ,YO11 ,2,11,,,,,
5/15/2023,C2 ,28,D ,LVTR1 ,5,2,,,,,
5/15/2023,C2 ,29,C ,CP3 ,3,8,,,,,
5/15/2023,C2 ,29,D ,SC ,7,11,,,,,
5/15/2023,C2 ,30,C ,YO4 ,4,8,,,,,
5/15/2023,C2 ,30,D ,IH ,2,7,,,,,
5/15/2023,C2 ,31,C ,SQ3 ,2,6,,,,,
5/15/2023,C2 ,31,D ,YO4 ,3,2,,,,,
5/15/2023,C2 ,32,C ,LV3 ,6,2,,,,,
