block ,row ,col ,pop ,mf ,rep ,pheno ,diam mm ,height cm ,total branch ,herb dam ,wilt status ,longest leaf cm ,flowers ,fruits ,longest fruit cm ,repro_ branch ,notes , 
C2 ,37,B ,YO11 ,1,6,X ,,,,,,,,,,,,
C2 ,38,A ,TM2 ,5,12,X ,,,,,,,,,,,,
C2 ,38,B ,LV3 ,2,8,X ,,,,,,,,,,,,
C2 ,39,A ,CP2 ,6,5,X ,,,,,,,,,,,,
C2 ,39,B ,SC ,3,1,X ,,,,,,,,,,,,
C2 ,40,A ,YO11 ,5,8,X ,,,,,,,,,,,,
C2 ,40,B ,CP3 ,2,4,X ,,,,,,,,,,,,
C2 ,41,A ,LVTR1 ,6,9,X ,,,,,,,,,,,,
C2 ,41,B ,FR ,1,8,X ,,,,,,,,,,,,
C2 ,42,A ,SQ2 ,1,11,X ,,,,,,,,,,,,
C2 ,42,B ,LVTR1 ,3,11,X ,,,,,,,,,,,,
C2 ,43,A ,SQ3 ,1,3,X ,,,,,,,,,,,,
C2 ,43,B ,SQ2 ,4,8,X ,,,,,,,,,,,,
C2 ,44,A ,WV ,4,9,X ,,,,,,,,,,,,
C2 ,44,B ,WV ,2,1,X ,,,,,,,,,,,,
C1 ,1,C ,YO4 ,2,10,X ,,,,,D,,,,,,,
C1 ,1,D ,CC ,7,7,X ,,,,,,,,,,,,
C1 ,2,C ,LV1 ,3,11,V ,6.59,4.1,1,Y,N ,4.1,,,,,,
C1 ,2,D ,WV ,6,11,X ,,,,,,,,,,,,
C1 ,3,C ,YO7 ,2,5,X ,,,,,,,,,,,,
C1 ,3,D ,SC ,7,6,X ,,,,,,,,,,,,
C1 ,4,C ,SQ2 ,2,10,X ,,,,,,,,,,,,
C1 ,4,D ,DPR ,3,3,X ,,,,,,,,,,,,
C1 ,5,C ,CP3 ,7,2,V ,5.56,6.9,5,Y,N ,4.8,,,,,white fungus side branch proxy ,
C1 ,5,D ,YO7 ,3,11,X ,,,,,,,,,,,,
C1 ,6,C ,LV1 ,6,7,X ,,,,,,,,,,,,
C1 ,6,D ,SC ,2,7,X,,,,,,,,,,,,
C1 ,7,C ,YO4 ,6,10,X,,,,,,,,,,,,
C1 ,7,D ,LV1 ,5,3,X,,,,,,,,,,,,
C1 ,8,C ,YO4 ,7,13,V ,4.69,3.2,3,Y ,N ,4.1,,,,,,
C1 ,8,D ,LV3 ,3,10,X ,,,,,,,,,,,,
C1 ,9,C ,SQ2 ,5,9,V ,4.57,8.8,3,Y ,N ,6.2,,,,,side branch proxy for diameter,
C1 ,9,D ,WL2 ,7,4,V ,4.31,4.1,1,Y ,W ,3.5,,,,,,
C1 ,10,C ,LV1 ,1,5,X ,,,,,,,,,,,,
C1 ,10,D ,LV1 ,7,11,X ,,,,,,,,,,,,
C1 ,11,C ,WV ,2,12,X ,,,,,,,,,,,,
C1 ,11,D ,CC ,2,8,X ,,,,,,,,,,,,
C1 ,12,C ,SQ1 ,4,6,X,,,,,,,,,,,,
C1 ,12,D ,CP3 ,4,6,X ,,,,,,,,,,,,
C1 ,13,C ,SC ,3,12,X ,,,,,,,,,,,,
C1 ,13,D ,SQ3 ,7,11,X ,,,,,,,,,,,,
C1 ,14,C ,YO4 ,3,13,V ,3.23,7.5,6,Y,N ,3.8,,,,,side branch proxy for diameter ,
C1 ,14,D ,SQ1 ,5,11,X ,,,,,,,,,,,,
C1 ,15,C ,CP3 ,5,10,X ,,,,,,,,,,,,
C1 ,15,D ,SQ2 ,3,13,X ,,,,,,,,,,,,
C1 ,16,C ,CP2 ,7,4,X ,,,,,,,,,,,,
C1 ,16,D ,YO4 ,1,5,X ,,,,,,,,,,,,
C1 ,17,C ,WV ,1,9,X ,,,,,,,,,,,,
C1 ,17,D ,YO11 ,5,3,X ,,,,,,,,,,,,
C1 ,18,C ,LVTR1 ,3,5,V ,7.45,9.8,1,Y,N ,3.9,,,,,white fungus ,
C1 ,18,D ,YO11 ,1,1,X ,,,,,,,,,,,,
C1 ,19,C ,WV ,4,3,X ,,,,,,,,,,,,
C1 ,19,D ,DPR ,1,5,X ,,,,,,,,,,,,
C1 ,20,C ,CP2 ,5,11,X ,,,,,,,,,,,,
C1 ,20,D ,FR ,3,7,X ,,,,,,,,,,,,
C1 ,21,C ,SQ3 ,5,2,X ,,,,,,,,,,,,
C1 ,21,D ,TM2 ,3,8,X ,,,,,,,,,,,,
C1 ,22,C ,YO7 ,5,7,X ,,,,,,,,,,,,
C1 ,22,D ,TM2 ,5,6,X ,,,,,,,,,,,,
C2 ,23,C ,SQ2 ,6,13,X ,,,,,,,,,,,,
C2 ,23,D ,CP3 ,4,11,X ,,,,,,,,,,,,
C2 ,24,C ,CC ,7,13,X ,,,,,,,,,,,,
C2 ,24,D ,YO4 ,1,10,X ,,,,,,,,,,,,
C2 ,25,C ,SQ2 ,3,2,X ,,,,,,,,,,,,
C2 ,25,D ,FR ,5,7,X ,,,,,,,,,,,,
C2 ,26,C ,YO4 ,7,2,X ,,,,,,,,,,,,
C2 ,26,D ,YO4 ,5,11,X ,,,,,,,,,,,,
C2 ,27,C ,LV1 ,4,4,X ,,,,,,,,,,,,
C2 ,27,D ,DPR ,3,9,X ,,,,,,,,,,,,
C2 ,28,C ,YO11 ,2,11,X ,,,,,,,,,,,,
C2 ,28,D ,LVTR1 ,5,2,X ,,,,,,,,,,,,
C2 ,29,C ,CP3 ,3,8,X ,,,,,,,,,,,,
C2 ,29,D ,SC ,7,11,X ,,,,,,,,,,,,
C2 ,30,C ,YO4 ,4,8,X ,,,,,,,,,,,,
C2 ,30,D ,IH ,2,7,X,,,,,,,,,,,,
C2 ,31,C ,SQ3 ,2,6,X,,,,,,,,,,,,
C2 ,31,D ,YO4 ,3,2,X ,,,,,,,,,,,,
C2 ,32,C ,LV3 ,6,2,X ,,,,,,,,,,,,
C2 ,32,D ,WL2 ,6,5,X ,,,,,,,,,,,,
C2 ,33,C ,CP2 ,7,11,X ,,,,,,,,,,,,
C2 ,33,D ,IH ,6,4,X ,,,,,,,,,,,,
C2 ,34,C ,SC ,1,5,X ,,,,,,,,,,,,
C2 ,34,D ,BH ,1,13,X ,,,,,,,,,,,,
C2 ,35,C ,LVTR1 ,2,7,X ,,,,,,,,,,,,
C2 ,35,D ,LV1 ,5,8,X ,,,,,,,,,,,,
C2 ,36,C ,SQ1 ,6,6,X ,,,,,,,,,,,,
C2 ,36,D ,CP2 ,2,8,X ,,,,,,,,,,,,
C2 ,37,C ,YO8 ,5,10,X ,,,,,,,,,,,,
C2 ,37,D ,CP3 ,7,7,X ,,,,,,,,,,,,
C2 ,38,C ,YO7 ,5,12,X ,,,,,,,,,,,,
C2 ,38,D ,WL2 ,2,5,X ,,,,,,,,,,,,
C2 ,39,C ,YO8 ,3,1,X ,,,,,,,,,,,,
C2 ,39,D ,YO8 ,4,7,X ,,,,,,,,,,,,
C2 ,40,C ,DPR ,7,1,X ,,,,,,,,,,,,
C2 ,40,D ,WR ,3,11,X ,,,,,,,,,,,,
C2 ,41,C ,TM2 ,4,2,X ,,,,,,,,,,,,
C2 ,41,D ,SQ3 ,3,13,X ,,,,,,,,,,,,
