block,row,col,pop,mf,rep,height (cm),longest leaf (cm),herbivory (Y or N),Notes
H2,21,B,buffer,,,,,,
H2,22,A,SQ2,8,3,1.2,3,N,"wilted, near death"
H2,22,B,IH,1,11,-,-,-,dead
H2,23,A,YO7,2,3,1,1.9,N,
H2,23,B,WL1,1,15,2.4,2.9,N,
H2,24,A,WR,1,1,2.1,2.3,N,"wilted, near death"
H2,24,B,BH,5,29,4.5,5.1,Y,
H2,25,A,IH,4,5,3.8,5.2,Y,
H2,25,B,WL1,7,20,1.8,0.7,N,"wilted, near death"
H2,26,A,DPR,4,13,1.8,2.1,N,
H2,26,B,LV3,1,14,2.3,2,Y,
H2,27,A,BH,5,4,3.6,3,N,
H2,27,B,SQ1,4,2,1.4,2,Y,"wilted, some resprouting"
H2,28,A,WL1,1,8,-,-,-,dead
H2,28,B,SC,5,4,3.9,2.8,Y,
H2,29,A,IH,7,14,3,4.2,N,
H2,29,B,BH,5,19,3.5,3.5,N,
H2,30,A,WL1,2,5,-,-,-,dead
H2,30,B,WL1,1,25,2.6,1.8,N,
H2,31,A,SQ1,7,8,1.7,2.8,Y,
H2,31,B,YO8,3,6,0.7,0.5,N,
H2,32,A,YO11,2,3,-,-,-,dead
H2,32,B,SQ2,1,13,-,-,-,dead
H2,33,A,BH,3,10,-,-,-,dead
H2,33,B,BH,4,7,2,3,Y,
H2,34,A,SC,4,3,2.6,0.5,N,
H2,34,B,CC,4,7,3.2,2.8,N,
H2,35,A,TM2,5,5,7,3.5,N,
H2,35,B,CC,6,5,-,-,-,dead
H2,36,A,LV3,1,1,-,-,-,dead
H2,36,B,TM2,3,1,7.1,4.4,Y,
H2,37,A,LV3,6,4,1.2,1.1,Y,
H2,37,B,FR,6,7,4,2.4,Y,wilted
H2,38,A,CP3,5,9,,,,
H2,38,B,FR,3,5,2,2.3,N,root rot
H2,39,A,BH,7,9,2.1,1,N,"wilted, near death"
H2,39,B,BH,6,2,3.3,3.5,Y,
H2,40,A,buffer,,,,,,
H2,40,B,buffer,,,,,,
H2,41,A,buffer,,,,,,
H2,41,B,buffer,,,,,,
H1,1,C,buffer,,,,,,
H1,1,D,buffer,,,,,,
H1,2,C,buffer,,,,,,
H1,2,D,buffer,,,,,,
H1,3,C,WL1,1,14,1.5,2.1,N,
H1,3,D,IH,4,4,,,,dead
H1,4,C,SC,6,2,2.5,2,N,wilted
H1,4,D,WL2,3,7,0.2,1.2,N,
H1,5,C,BH,5,28,4.5,5.1,Y,
H1,5,D,SQ2,6,7,0.2,0.6,N,near death
H1,6,C,TM2,1,5,10.2,3.6,N,
H1,6,D,LV3,4,1,2.1,1.6,N,
H1,7,C,DPR,2,10,7.8,3.5,N,
H1,7,D,CP3,9,1,-,-,-,dead
H1,8,C,SQ1,6,7,0.3,3.3,Y,
H1,8,D,YO11,5,13,2.3,1.1,N,
H1,9,C,IH,4,22,-,-,-,dead
H1,9,D,CC,2,2,5.1,3,N,
H1,10,C,BH,6,11,4.3,4,Y,
H1,10,D,WL1,7,5,3.5,4.6,Y,
H1,11,C,WL1,1,7,2.5,2.8,N,
H1,11,D,WL1,4,4,4,3.1,Y,
H1,12,C,SQ1,2,5,2.3,3.6,N,
H1,12,D,SQ3,7,7,1.8,2.4,Y,
H1,13,C,WL1,6,14,-,-,-,dead
H1,13,D,YO7,8,2,1.4,2,N,
H1,14,C,LV3,8,2,2.2,2.2,N,
H1,14,D,SC,5,3,2.3,3.5,N,
H1,15,C,CP2,3,10,0.6,2.1,N,
H1,15,D,BH,5,13,4.6,4.2,N,
H1,16,C,CP2,10,2,1.8,1.5,Y,
H1,16,D,IH,7,6,4.3,3.8,N,
H1,17,C,BH,2,2,3.5,1.9,Y,
H1,17,D,TM2,2,13,6.6,2.5,N,
H1,18,C,LV3,1,10,1.9,1.2,N,
H1,18,D,WL1,7,19,3.8,1.8,N,
H1,19,C,BH,7,21,5.3,5.3,Y,
H1,19,D,LV1,4,5,1,1,Y,
H1,20,C,buffer,,,,,,
H1,20,D,buffer,,,,,,
H2,21,C,buffer,,,,,,
H2,21,D,WL1,6,25,-,-,-,dead
H2,22,C,LV3,2,2,-,-,-,dead
H2,22,D,BH,2,3,3,3.8,N,
H2,23,C,BH,7,22,3,4.5,Y,
H2,23,D,WL1,6,9,3,3,N,
H2,24,C,LV3,8,6,2.4,1.4,N,
H2,24,D,YO8,7,9,-,-,-,dead
H2,25,C,DPR,2,6,7.9,3.9,Y,
H2,25,D,WL2,4,5,-,-,-,dead
H2,26,C,WL1,4,5,4.1,3.4,Y,
H2,26,D,SQ2,6,8,-,-,-,dead
H2,27,C,LV3,1,11,-,-,-,dead
H2,27,D,BH,6,12,3.9,4.3,N,
H2,28,C,WL1,3,1,3.2,3.6,Y,
H2,28,D,SQ1,1,3,1.7,1.8,Y,
H2,29,C,FR,1,13,6.6,4.1,Y,
H2,29,D,LV3,7,6,2.6,2,N,
H2,30,C,WL2,1,8,-,-,-,dead
H2,30,D,TM2,1,6,9.1,4.5,N,
H2,31,C,CP2,6,10,1.9,2.9,Y,
H2,31,D,YO11,7,1,-,-,-,dead
H2,32,C,SC,6,3,3.5,4.5,N,
H2,32,D,CP2,3,4,1,1.2,N,
H2,33,C,LVTR,3,12,2,1.7,Y,
H2,33,D,FR,6,4,4,2,N,"wilted, near death"
H2,34,C,CP2,3,6,2.8,4.1,N,
H2,34,D,LV3,5,3,2,1.5,N,
H2,35,C,BH,2,13,3,3,N,
H2,35,D,SQ1,7,16,,,,
H2,36,C,CC,2,1,6.1,3.4,N,
H2,36,D,WL2,5,3,-,-,-,dead
H2,37,C,CP2,9,1,-,-,-,dead
H2,37,D,IH,7,7,2.1,2.5,N,wilted
H2,38,C,WL1,7,6,2,1.2,Y,"wilted, near death"
H2,38,D,SQ3,6,10,1.2,1.3,Y,
H2,39,C,WL1,6,15,-,-,-,dead
H2,39,D,SC,2,11,-,-,-,dead
H2,40,C,buffer,,,,,,
H2,40,D,buffer,,,,,,
H2,41,C,buffer,,,,,,
H2,41,D,buffer,,,,,,
J1,0,A,buffer,,,,,,
J1,1,A,buffer,,,,,,
J1,1,B,buffer,,,,,,
J1,2,A,buffer,,,,,,
J1,2,B,buffer,,,,,,
J1,3,A,WL1,6,26,2.9,2.4,N,
J1,3,B,BH,6,13,-,-,-,Dead
J1,4,A,SQ1,7,9,1.6,3.4,N,
J1,4,B,BH,2,4,3.3,5.6,N,
J1,5,A,LV3,6,7,0.9,1.5,N,
J1,5,B,TM2,3,10,2.8,3.1,N,
J1,6,A,WL1,1,26,2.7,1.9,N,Wilted /diseased
J1,6,B,DPR,6,10,4,3.1,N,
J1,7,A,SQ1,1,4,1.3,1.6,Y,Wilted
J1,7,B,SQ1,2,3,2.1,3.6,Y,
J1,8,A,TM2,4,10,8.2,5,N,
J1,8,B,FR,1,1,4.7,5.2,Y,
J1,9,A,YO11,6,13,-,-,-,Dead
J1,9,B,SC,4,4,2,4.4,N,
J1,10,A,CC,3,2,7.1,1.5,,root rot
